,subjID,gender,age,correct,RT,MT,sideCorrect,sideResp,condition,block,ratioSm,ratioLg,ratioDist,L_num,L_den,R_num,R_den,ratioNum,order,trial,experiment
35,RA1,1,,1.0,1008.0,400.0,2.0,2.0,Incongruent,90,0.2,0.5,300.0,5.0,25.0,4.0,8.0,0.8,9050,35,disc
36,RA1,1,,1.0,872.0,417.0,2.0,2.0,Congruent,90,0.4,0.5,100.0,2.0,5.0,7.0,14.0,0.29,9050,36,disc
37,RA1,1,,0.0,889.0,402.0,2.0,1.0,Incongruent,90,0.57,0.67,100.0,17.0,30.0,2.0,3.0,0.12,9050,37,disc
38,RA1,1,,1.0,1246.0,219.0,1.0,1.0,Congruent,90,0.4,0.6,200.0,9.0,15.0,8.0,20.0,0.89,9050,38,disc
39,RA1,1,,1.0,973.0,803.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,15.0,30.0,20.0,25.0,0.75,9050,39,disc
40,RA1,1,,1.0,1126.0,200.0,2.0,2.0,Congruent,90,0.33,0.53,200.0,7.0,21.0,8.0,15.0,0.88,9050,40,disc
41,RA1,1,,1.0,869.0,601.0,2.0,2.0,Incongruent,90,0.47,0.67,200.0,7.0,15.0,4.0,6.0,0.57,9050,41,disc
42,RA1,1,,1.0,1126.0,200.0,1.0,1.0,Congruent,90,0.67,0.87,200.0,26.0,30.0,16.0,24.0,0.62,9050,42,disc
43,RA1,1,,1.0,668.0,280.0,2.0,2.0,Congruent,90,0.67,0.77,100.0,12.0,18.0,23.0,30.0,0.52,9050,43,disc
44,RA1,1,,1.0,1106.0,362.0,1.0,1.0,Congruent,90,0.5,0.6,100.0,3.0,5.0,2.0,4.0,0.67,9050,44,disc
45,RA1,1,,1.0,858.0,400.0,2.0,2.0,Congruent,90,0.5,0.7,200.0,8.0,16.0,21.0,30.0,0.38,9050,45,disc
46,RA1,1,,1.0,1229.0,781.0,1.0,1.0,Congruent,90,0.5,0.8,300.0,24.0,30.0,1.0,2.0,0.04,9050,46,disc
47,RA1,1,,1.0,1619.0,261.0,1.0,1.0,Congruent,90,0.2,0.4,200.0,4.0,10.0,3.0,15.0,0.75,9050,47,disc
48,RA1,1,,1.0,1272.0,360.0,1.0,1.0,Congruent,90,0.5,0.8,300.0,12.0,15.0,11.0,22.0,0.92,9050,48,disc
49,RA1,1,,1.0,1027.0,380.0,1.0,1.0,Congruent,90,0.5,0.8,300.0,8.0,10.0,2.0,4.0,0.25,9050,49,disc
50,RA1,1,,0.0,1203.0,381.0,1.0,2.0,Congruent,90,0.5,0.6,100.0,6.0,10.0,5.0,10.0,0.83,9050,50,disc
51,RA1,1,,1.0,1076.0,400.0,1.0,1.0,Congruent,90,0.5,0.6,100.0,12.0,20.0,7.0,14.0,0.58,9050,51,disc
52,RA1,1,,1.0,1294.0,2320.0,2.0,2.0,Congruent,90,0.4,0.5,100.0,2.0,5.0,3.0,6.0,0.67,9050,52,disc
53,RA1,1,,1.0,1487.0,300.0,2.0,2.0,Congruent,90,0.5,0.6,100.0,10.0,20.0,12.0,20.0,0.83,9050,53,disc
54,RA1,1,,1.0,1311.0,360.0,1.0,1.0,Congruent,90,0.5,0.6,100.0,3.0,5.0,1.0,2.0,0.33,9050,54,disc
55,RA1,1,,1.0,941.0,282.0,2.0,2.0,Incongruent,90,0.53,0.83,300.0,16.0,30.0,15.0,18.0,0.94,9050,55,disc
56,RA1,1,,1.0,914.0,262.0,2.0,2.0,Congruent,90,0.67,0.87,200.0,12.0,18.0,26.0,30.0,0.46,9050,56,disc
57,RA1,1,,1.0,661.0,359.0,2.0,2.0,Congruent,90,0.5,0.6,100.0,2.0,4.0,15.0,25.0,0.13,9050,57,disc
58,RA1,1,,1.0,1517.0,320.0,1.0,1.0,Congruent,90,0.2,0.5,300.0,3.0,6.0,1.0,5.0,0.33,9050,58,disc
59,RA1,1,,1.0,1146.0,239.0,2.0,2.0,Incongruent,90,0.53,0.83,300.0,16.0,30.0,5.0,6.0,0.31,9050,59,disc
60,RA1,1,,0.0,1208.0,780.0,1.0,2.0,Congruent,90,0.5,0.6,100.0,3.0,5.0,2.0,4.0,0.67,9050,60,disc
61,RA1,1,,1.0,1022.0,360.0,2.0,2.0,Congruent,90,0.13,0.33,200.0,4.0,30.0,8.0,24.0,0.5,9050,61,disc
62,RA1,1,,1.0,975.0,362.0,1.0,1.0,Congruent,90,0.5,0.8,300.0,24.0,30.0,8.0,16.0,0.33,9050,62,disc
63,RA1,1,,0.0,1135.0,400.0,1.0,2.0,Congruent,90,0.5,0.6,100.0,9.0,15.0,1.0,2.0,0.11,9050,63,disc
64,RA1,1,,0.0,1249.0,300.0,2.0,1.0,Congruent,90,0.5,0.7,200.0,4.0,8.0,7.0,10.0,0.57,9050,64,disc
